pkid,fkdevicepool
fc02cde5-0007-4e5d-22b5-f47b061bd00b,877faf7e-a4f1-4444-a19e-62f91dfa04a8
2fe52cab-3ba7-9f10-1cae-845783a98f68,f0a1902e-b363-4609-beaa-f3a5d99640b1
75bc7393-892d-48ca-4376-dfbdbd6d7044,11c882e2-bd79-418c-9151-36012b488624
38e9e353-2466-b12d-1c78-e06ab4209d6a,aa1cb07f-473f-4257-b97b-b1dfcab3f59e
7916beb0-8fc8-2d72-ef2f-282fccfcdd8b,b0f64bfa-3232-409a-a125-f8396b7b9f01
c346bc6f-4c0b-726f-f4ec-6e45687891e0,6213242b-96dd-48c7-8be0-fbf6bf308e80
b38ca813-2a81-b9b6-4353-f0c5dfc55d73,bdc330e7-c2e5-4075-a0d7-7e7f4a590402
615e4c98-5b9d-d7f4-a08e-e0946b008717,2f8dae63-041c-41dc-be04-0619db9f2e79
d197c9af-f0f4-7d86-dbe8-c20f71c8533d,ec60b759-ec7c-46b5-a934-4bc599cfed04
56114f58-7707-1891-b336-1b4c81d2b60c,94e9de3e-a62f-4449-b767-88195eb2a9d4
cf4acb30-3d53-6e06-0fb0-64e1e472c5e0,570e3888-6829-49ce-85de-82d24574317e
7cf778d4-3cb9-2685-780e-82dfdc5da373,2a96891d-a956-4142-8e3b-da0675f4dc9e
39a2a4af-b86c-2ab0-e113-74eca7fb5ac7,770ad596-4281-4d55-862c-2874f426abbc
f6702b58-82dd-ae8a-3888-fe7a203d863e,66569434-4c13-4ba7-bd7d-63500f9ff2c2
89236b8b-5bfa-8940-1853-8f94cf9e2c3c,cbd456e9-b903-445c-9d5c-e35cf9dbd546
71df4e3f-ddf9-ba17-78a0-55f6d47852f5,87af51bd-cb83-43d7-b235-8b5f8644ac6c
12049635-77e8-a974-67f9-228d89824c8a,a9a940d7-3e08-40db-ba6d-b5f73da99339
dd1131bd-b53b-7c49-af30-0fa997b0a353,51692833-d5f0-4b8c-8501-c9e564caf80d
ec836b28-03de-b1a3-5f58-89bf5810643e,1c69ea51-1a05-46c5-bade-5b1f3d0bd20e
47619968-360c-9c59-952c-3b87b9466dd6,c569c4d0-352b-4cec-929b-0e55e28deafe
25525fab-2a0c-b7aa-2b4b-f3602f6b699c,25abd1c0-5e67-4030-8304-912f48f0c76f
42a8807a-c164-0270-d548-e596490a34e8,14c1ed33-cb8a-47b7-85fd-f08bf946a8c9
7038d172-68d0-8d59-0ea5-79e109e754c9,77c8b330-21cb-4c33-b04c-71379194cebe
963c2184-b66f-77eb-e524-0f33fdcf52cd,aaf3a4d2-a6d7-488c-9435-7e58d9f6ed8d
ae829a0b-5374-cb5e-8e49-591150d9d3db,9df9ef8b-5306-4ba4-a63e-62c2fa5b89d5
ef4e614a-6904-b3d7-da0e-f6182809577f,dfe2045f-c664-4109-be73-4c82f56db6aa
f55ac1c7-2d8d-0533-c1c0-038bffeb8186,db4b1987-6166-4ff5-a2d0-9c463e1a3597
2a021b06-21d6-7a9a-200b-35ddf462b745,7642b17b-e563-41fa-8087-c341847a4ff1
1bca5f26-a95a-facf-e091-f224b5fdbfe8,8fa1db80-53ef-4f79-b637-5dc9d1f9c293
a8018ce1-7f51-56b3-2780-9aa1a399b7b6,ed2272ed-7bde-4971-9511-a9b14f7793e9
850b4313-4fa0-e156-ec70-c33579bfd44b,8384331a-611c-41eb-a482-5b9737bd53fc
302af7a0-9d82-2c79-4ac7-1dd5757017f8,ca12fc7c-b946-4393-890e-bc20fde18cfa
a3324016-a5ab-13b3-97fe-9943d6fd5e76,2781f33b-17c3-484f-96c5-b3ef3dbbafb9
57487b50-acce-f3ba-7c3f-d040d1be5d20,7a5d4645-cdba-4533-a15f-ee3696331d08
92f01047-d579-6ebc-a2ba-043e99dcb31d,7ecb7feb-09a2-42aa-ba32-5dbddc3d5c3e
c184ebca-f617-bcf2-09f3-817c8f29e70c,d23268e9-9428-426b-9035-86b11c1cf3d2
b5bd7f8d-ac13-f3a6-0053-53cc052eee7a,50309784-2066-4790-af0d-accc3c13d03f
8d8aff71-5733-dc6e-5bd4-6685e8679c28,3ba8b9f8-ed9c-414b-a13a-50f67ecb2365
164dd6ae-1836-0216-0805-ef0402f3af51,5c1c8e63-19b5-44da-a45e-832c88ceba94
72147742-99ef-6c8c-7063-b224a7d92f71,aee2f833-0865-4622-9039-4ef18693e8a4
e21966dc-a6d6-cf92-0e79-e2aca422dbe6,1b770aae-3ba3-4ca0-89bd-0009d6aa928e
762c9886-4d80-1d0a-a0a2-c7daa6ff1d34,b121be8c-ddfe-42ed-bc90-b0a971455da5
95fa1614-3075-3e9c-dbad-f8fddc35bd58,731375a6-2e32-4f39-8730-6c6881cf2729
486fab27-5cd0-3af2-ea12-b32234a9226a,a814c769-db3a-4f8d-be32-737c6285ad38
7927daa2-763f-8641-5145-4fe757e46f8c,6d148020-cee3-4db9-92db-7af25da94871
c742a5d9-8aac-d302-bdb4-de8986288ceb,fb0e7210-40af-4e16-89eb-5f74ed0a46fd
c5d0d181-38bc-6533-1d61-5b004c847f4e,447cc56c-2701-459a-8454-99fb42acd3fd
d96b2b89-fa44-c096-a8a4-40f92d45791b,869db2ce-948c-4a0a-8684-61fa1afe48f3
491fa106-8633-5330-62e4-e7e235e56987,2de29ee0-7c7b-4ea2-aa47-a5ef4d757157
f63ace3c-71e0-00ff-df1e-a7597ebda965,615bec0f-7345-4748-af0f-0d02c51efe1b
d1870ed5-9032-4723-6b27-aa20d7bc974e,a339a66f-3642-44d2-b73f-877da4bbd36d
2196e23c-f89b-f84d-4bca-867a9cea667b,f8bf1525-3fa8-49a3-a694-893d05896464
0a8a4b09-40c4-5e8e-efb2-907da26692f4,fe1e432e-754c-4447-800a-2ef28a9fc5b8
eb42eaf9-011f-699c-4941-806e4027541c,57b05a1c-5869-4b7c-8855-9571d6e3f45c
4215a297-8bf3-a06e-7bd0-9102c5383d57,c8c9e3fa-c7e1-4850-9450-95f79e180c3f
