pkid,fkroutegroup
8ba0f0cc-2830-4e91-b88d-77aa3b401bc2,
8be89f29-290f-6858-b200-577fac551488,
8c06997c-a48b-b546-d765-87cbcffc54a0,
8c09e723-91b4-b4a5-f5c2-b6b7a600882a,
8c88d5f3-949c-8c72-f837-15e49fbcd186,
8c9187bb-7a9b-ea82-e1da-0e783075f0bb,
8cfaf9f2-85f9-01a9-0f15-656e79b0f833,
8d40cd11-00c7-c146-828e-248a98d6685c,
132d9440-86b0-48fa-9540-e0b366897c77,0cdf05dc-6fda-79f5-33f6-0c1e52897314
8dd80f5e-0b1e-b637-4aca-923c11816a86,
8e0760af-de29-a544-1033-bd5d1d8a5945,
8e2ddc2a-f852-42c1-a219-16dc6f3a6b17,
cabd51cf-4a51-454e-936c-ed410b754336,021d967e-4899-2e37-26f7-6c66c6609d12
8ef4a237-4523-630c-2c49-a7e8066f5772,a33c8cf7-50b0-4743-a20b-bad204789ec9
8f29ce0b-47d0-d2be-a98c-b097fd341ae4,cf999403-96e5-18c0-937a-be03df50b3d6
8f50ab99-cfca-cf8d-076f-2aa3613ebe01,
8fcbf711-7487-7387-3bfe-cc2214bc30ba,
90269b7c-d4cd-4402-a7a9-f2df269abe80,
90afff4c-b9e5-3d80-cdca-0aace6e6f398,47c90f66-9a25-706e-4567-b3109d521e31
90c818ce-cf69-74b5-99b2-93c9f59fe90e,8246d793-fa62-5be7-3b4c-ba949d9e375b
910857a7-e607-d236-b604-90841c317706,4817b2df-8140-f769-7790-ba4c24db2521
919f903b-b337-0744-3233-757bfcf7af99,
91cf82b8-0a8d-0f84-f9af-1101e1cffa27,
91d6cd04-f536-f617-450e-5e4237c4b65b,
91f0541b-a63b-9068-9ae9-a4a49ee8c314,
91f73e21-f750-bdfa-1174-2a83417a113a,
9222f303-e305-bb42-3459-eb46b79ff5f5,ab0e6faf-4c8e-0ff9-a35e-08633325038f
9227bc44-a22d-5d51-2ce3-e976ff623037,d1e82d4c-32df-3e9d-241a-4ccdd615334a
93027218-f0af-442a-ac6b-6195125c7cf3,
93510728-0b3c-6212-166f-f46ec7539011,
9366b64c-4c84-f058-9e15-d7d71b64f7bd,
93731e39-e6e5-082d-7cda-0ba8b8fee6b2,9af4f857-2430-3c89-913c-6c4db949f227
937c7d06-72ae-f85d-2248-fce4b51aa2b3,8d181617-1328-3c0e-8d09-b2410d98a677
9440f148-b1b7-4934-85f2-941ac1b34ca1,
955561a1-c4cd-0488-5aaf-a1cad37ce556,
95702f0b-668b-4134-bcef-082c64003736,
958a3ab7-d0fb-c88c-8493-0d7dd9d1c00f,
95eac443-a543-e2ec-11f7-8f2627bda5e4,
96115646-eab6-b9c4-7829-c2956d4bd1d7,
96349bb0-9f8f-0eb2-1d08-8b7a7534b6ef,
96894e2d-3797-eefb-9cca-5899fdf0e4dc,
96d1b95a-ba61-53df-4738-aa75bc4f5856,e19107b4-0a64-b435-db3b-21411faf78b1
96dc8f94-bc2c-4623-bd7a-85a55b118502,
96fa61fb-bf50-4073-edbb-666cff24b8a2,2ecf333b-b1a3-add1-6d87-1ee22f8d4516
9711f04f-d2c4-186a-d43f-16c50916f49e,
97300b76-5203-8087-2b7e-f58442d8b834,034c8cb0-0fce-2299-b280-ef81f8f8c114
97b3a3c8-cc5f-499b-d048-ce71e438254f,
97cd2402-76d4-6cda-f388-d965809b4ad5,
97f1a24e-7a68-649d-9224-de7ca8314a05,
982e12f1-23fa-dbf8-a14b-3178cd6bda7d,
98d0de6a-af01-2933-2d59-f5f52b663d55,
9912bd87-ac76-4e90-b4d3-7ce39b4fee10,
995e6cce-deca-8b07-4b41-ab46d9fe476b,b67c123b-8d08-0214-98dd-107669ad102e
99a3662a-f636-1235-1757-f3fa615ada26,
99b62530-7be0-e3bb-212c-3a50deb77996,
99d1e138-a280-770a-7786-76a1e56dc1d4,
99eafeab-e3dc-162d-b310-dec00476d7f0,
99eba067-f6fb-1f03-5bcc-f3aa41b41fcc,a07b5639-a446-eb45-d0aa-17b92f4e4a17
9a3229e6-c73a-c30a-47d9-8e10536808e6,
9a3b8d57-ef50-7cd1-33fb-971e07732ac1,
9a4d3b1c-60c4-41cf-b502-3ef9323eb63d,
9a90e9d0-a454-7773-826e-ede0714e6341,
9a979efd-ee0b-fc12-1b07-f036961add3a,
9ac1df59-d24a-99c5-3600-aec68df1f2e2,
9af875da-cb91-39cc-8400-757d6d93871c,
9b07604e-1d4c-ca77-7efb-d6f6ce1d42e4,
9b9dede2-216f-7ac0-08aa-3f39800b875d,5a35bc9f-b3da-33d1-4fed-df616cfe2ad2
9bca574f-4d1a-8497-9e32-ebe8b04dde7c,
9bcc3204-d488-7eb0-b11a-e6cdccd8d043,
9c397946-e603-103b-0476-5908d676fbea,
9c7c02bd-c4ae-afdc-0fce-b81deb9db950,
9c95b57a-8f95-943a-a161-bf5bc4f668ef,
9c96f278-1486-d06e-79cd-bdb2aa161f09,
9cc71edf-ff84-4643-a87b-3599233d0b7b,
9ce29b97-71fd-9751-a0b2-46a9b1372ddd,
9d4886e7-2374-9daf-38b8-1079acabc334,
9d609836-91d1-6cde-9a42-f934d68a35d4,
9e7ff707-e75b-fd33-14aa-392737b7a352,
9e9b06b4-2ce2-0abc-416f-45fa8900e442,
9e9b1629-abaa-f98e-3f19-8bd377a127ff,fd4a161d-0b4c-72f8-5d0d-cd619a5b95ad
9ea13701-32a7-447b-7e5f-0f1a498c0c61,
9eb3dc1a-bffc-431a-d643-9de9f8a40f53,
9fae4ddb-1a03-6357-298c-924ab32b2d7a,
a029b178-1b52-6f0a-2fef-2af7399236fa,
a063ceed-3b27-d551-de75-b9ee626047c5,dff7298e-d1ef-8506-b2bd-753501fde875
a072c7f1-99a7-7c56-9238-079e89ab69ef,
a11f136e-a346-0d9c-1747-dce6beecc256,1af26f39-fda6-b10b-0542-a62c55d905e8
ec999548-6329-2905-ff58-0c85f1a50179,
a13bcd5a-7942-7d1b-a0b1-73090949f6da,
a17cf67b-ca13-216c-d83b-7030f5a71926,6210da98-bc34-3d1d-21ee-4ea748063da8
a1d9b609-8316-cb1c-0345-2f3b2f0eaf6c,
a2491048-9c03-469d-8917-882c1474a22b,
a255c2e7-0d28-2473-8b76-fecc0e792f9b,
a2864064-d7f6-4b65-9163-10520561c5b4,
a288d68f-ca9e-d065-cbe2-8ff2cb0c2ceb,3ad7e021-dde4-15c8-f042-f5ab312c25ca
a2bf11ab-c858-b8e3-460d-866ca4a76c68,
a3ee6919-715a-94fe-bb6e-592c831aa2ee,
a5095d7b-dcae-fcce-6497-2fbd99d753ff,
a50bb807-6550-bacf-a8a3-e943e921c24f,
a52c8a18-325c-f3a0-303b-13ea94145091,
a532c681-9963-3ec2-421d-c83417babc38,7eca19b0-5074-92f0-deeb-8ee3f29a76bf
a5a33f45-b9e0-6e6c-bd5b-debc860394d3,
a65b7466-c4cf-43ff-8c66-93e31721a49e,
a6882f16-ea21-3bbc-bb94-aeda7bb2c344,
a73fd432-8b9a-6d39-597c-c0e0b47fca1d,
a78ac3dd-2311-2ae6-a8cc-7b8668439d19,d117ac4f-edd9-1a15-a13e-4390349e6c69
a7afccda-6852-531c-5009-365968a02f6a,f9f5a4a2-7e72-735d-4744-9c0ad10fcdad
a81e8c33-25d8-a090-3e8a-8fd42cef1fbc,
a81fa356-46de-c5eb-673f-582dfc434c91,
a84d9a74-5b44-d2e8-8cd4-fa6d2c0a5351,
a861d372-ffef-eecd-6554-198e6c944bf1,0d8d240a-ff52-7abb-988c-c9e1d28a1df6
a886c316-f1ae-4a37-89b7-0b3c26e30e5e,
f39d088a-0fee-8728-86c9-93959709535a,3e67fad9-fbbf-5d63-33dc-c574ca3a8088
a8d9561f-d876-5181-851b-c91867a860c5,
a8eb4b7f-c549-04da-83e5-c445a60ea4ec,889179ce-59de-8141-6b7f-555c341b6c63
a953f503-08c0-247c-505c-328793bd0d8a,f9971620-0731-3f82-e693-4845bf08b591
a976018f-84ba-ab28-581f-d9b94d256dd2,0d151496-fb17-1454-2efc-cbfdf820cec5
a980a65b-11d4-673c-ea6e-343b946ee4b1,
a9b10165-26b2-ca1e-c6df-c4374bbaf128,
a9c1a47c-826e-377e-229b-67ecc021ca58,
aa11055d-69f6-9bba-0873-b8847a295e6f,
