pkid,fklocation
29ee5f52-b2ab-3b86-293b-7f961aa32aa2,29c5c1c4-8871-4d1e-8394-0b9181e8c54d
9f1f2c10-e5f8-03ac-4787-4a7129fbde9e,29c5c1c4-8871-4d1e-8394-0b9181e8c54d
136de697-ff2f-2465-4a75-da9f7ee561b9,29c5c1c4-8871-4d1e-8394-0b9181e8c54d
0e151461-1638-ee5b-cd72-75d92bbb15ab,29c5c1c4-8871-4d1e-8394-0b9181e8c54d
7e12c609-8cc3-e895-bab4-ac649f6a71e3,29c5c1c4-8871-4d1e-8394-0b9181e8c54d
ca586c04-5aa3-7bc5-1e53-f06e4a669f81,29c5c1c4-8871-4d1e-8394-0b9181e8c54d
425f9793-4b4f-c3b3-1a36-01a2ee042825,29c5c1c4-8871-4d1e-8394-0b9181e8c54d
0763c1fe-9140-2121-862e-66bc19ad201f,29c5c1c4-8871-4d1e-8394-0b9181e8c54d
6ccd71ba-e404-4d7e-41a7-a89d3ebd3e9f,29c5c1c4-8871-4d1e-8394-0b9181e8c54d
5069807f-ab2a-e89d-9d49-99867f807853,29c5c1c4-8871-4d1e-8394-0b9181e8c54d
aaafef2d-0702-71dd-7a92-d28ca49ea079,29c5c1c4-8871-4d1e-8394-0b9181e8c54d
850ff9bc-5f39-c202-a753-7e7d6bf58ba0,29c5c1c4-8871-4d1e-8394-0b9181e8c54d
3c1303e5-5ca6-5fd0-9689-c9d3635c388b,29c5c1c4-8871-4d1e-8394-0b9181e8c54d
3b337bdf-b077-c744-d7a5-436c736a4953,29c5c1c4-8871-4d1e-8394-0b9181e8c54d
07644af4-2eed-3aa4-f068-cafebadf3341,29c5c1c4-8871-4d1e-8394-0b9181e8c54d
88eb54ae-d80f-60aa-3b78-6fe029f48131,29c5c1c4-8871-4d1e-8394-0b9181e8c54d
00818073-3239-ef0f-8fe4-f66240d2f9ab,29c5c1c4-8871-4d1e-8394-0b9181e8c54d
db0cba0b-8181-ef45-19c1-3370e059a541,29c5c1c4-8871-4d1e-8394-0b9181e8c54d
3595d26c-2360-5527-e1ef-c415d4aead80,29c5c1c4-8871-4d1e-8394-0b9181e8c54d
07332953-c9c7-4521-ccda-eb14531ce790,29c5c1c4-8871-4d1e-8394-0b9181e8c54d
ab2607c8-0993-386a-3f74-79432ddbbd55,29c5c1c4-8871-4d1e-8394-0b9181e8c54d
