pkid,fkdevicepool,fkregion
f288ae69-c5ab-4c23-9ae0-cdc0e1c90fa7,15b1593e-7898-46ee-b90d-0237ca0677d0,7cdb54f4-fbde-31fa-57e2-a823ed938e39
314f6f0d-5d5e-45e6-bb50-7aad5d89530d,148af68d-8ac9-ac5d-ef70-08f357b2afe0,4809cf14-14ea-3443-61c5-16378d234775
fee157c7-b58f-499b-9943-475348b46b72,155b431b-57f1-fbd0-6d04-48c7daec9844,c0c040b1-8521-28a6-04a6-bd5cb8821d84
6114e463-afbb-40cd-942f-af4bc27d7f8e,18f7dd54-e176-43f5-812d-e12bc567920f,dcf3dbd2-5190-5c0e-6e7e-871f41655abf
6ef7b9da-2541-4c23-8e3c-0327688d99ae,19387aea-e433-4379-9050-4d9879b06bab,e8548bcc-6d18-4318-2dbf-b7fd8bd5df29
64005124-f7bb-4407-8122-e2baa6a55218,186cdeff-fec7-9add-d9b9-8807bfd4aa89,9f462ab4-946b-a683-a731-ff504202e911
4be09465-49e7-480b-afd0-6eacb1121435,1d704005-9b90-47e2-9577-e8ab8918e39c,fc3589ac-e9a6-08c5-c0ee-c39ab4686362
0c4b58ec-26fe-4989-801c-7422ccb3cff4,20172253-b665-7a4e-29bd-b8f935750f62,4aa4623f-2697-cc00-df5d-e0705228d5ae
b9243ad8-19e3-4d41-be3f-827703c817d7,1e7919e6-d100-4276-84ea-c550282c5933,9a9d10b9-ac55-387a-6f3c-9e3e4ef33b50
b1420006-f93c-4242-ba45-985c170a4d89,1e864434-cc0c-4e5f-873b-6091ac590de3,d1afd834-df9c-05ed-7ca4-c8fa2e883db6
e8c48628-3eb9-4092-9e94-64dc06b0a809,1d20314c-db91-6748-9481-51d905e274cf,ae960ee5-4d9b-d8f1-a6dc-e44d3178a080
76d4a6fd-de23-482b-924f-6876855920b6,1ddbf220-e42b-48fc-bb8f-b46701552a10,295ebbf3-7e20-b3a6-ff1a-dda4dde9d1ca
11c05253-0936-441d-8b70-2a0e5dae866b,1e83c0a2-bd53-4d2f-99ba-bd8de4f0a4cc,67660ccc-cbb7-0120-dc31-29c52c85ee43
0d47c68a-373b-466a-a97a-daa77f7f12e7,1eb2b8bc-ea89-e6b6-94ec-13363cf23ebf,3fb04a3b-a2c3-4563-7143-55c4752ea10b
26892110-4bc7-4b6b-8031-cbf14889480b,1cce5fb7-a257-e08f-5da1-0cf7a506fe0a,6c2ad700-35f2-8d85-f327-2ba5259d1c00
25f37c90-a7be-4627-a5ab-e698cabebd22,180486d1-f988-f3e9-6798-3365b9c34e68,ff3dd1fd-e6b8-43bf-e8a1-5a0139bc9c1c
a848faf3-de3c-4202-8561-0f04ea5c8103,183ae20f-a2ab-4a21-93ec-df994349cec0,ca84a21c-1bbb-5ab5-76d5-1c3da8e470cc
c3696686-f268-4296-a259-b30b37a5eaae,18f3da90-ecd1-42d2-b01a-27b487f765c7,50c24592-9cde-fe79-299e-2126741a3d47
172ba331-8fcf-492d-9501-4756b03cc4f0,1a7cefd6-f696-4fe2-8cd8-cc500c82d0f2,7587c475-f9eb-f072-62d0-a2821ad9fe5d
