pkid,fkdevicepool,fkcallmanagergroup
56025f0e-6e32-4c86-aef1-f159a2ed4348,148af68d-8ac9-ac5d-ef70-08f357b2afe0,70c197ba-8951-14ad-a270-b32053663da9
c11becf5-b544-4341-9076-c6d5ab231ab3,155b431b-57f1-fbd0-6d04-48c7daec9844,1e35ee58-8dc3-c03b-f223-0a2e9bde90b4
5a6cb336-d976-4c2b-98bf-d90bdefd26cf,18f7dd54-e176-43f5-812d-e12bc567920f,1e35ee58-8dc3-c03b-f223-0a2e9bde90b4
89cbcc37-3643-4da0-929f-39b0884b0bb2,19387aea-e433-4379-9050-4d9879b06bab,70c197ba-8951-14ad-a270-b32053663da9
9d500ea0-0636-41a2-8e07-ebcbad9eaea7,186cdeff-fec7-9add-d9b9-8807bfd4aa89,e64d226d-1d88-a330-ae45-a66bd201b031
5892678f-3578-4b20-9de9-ac3a4baa6bf6,1d704005-9b90-47e2-9577-e8ab8918e39c,1e35ee58-8dc3-c03b-f223-0a2e9bde90b4
596b79f4-0bbb-4688-a329-cee415ef951f,20172253-b665-7a4e-29bd-b8f935750f62,70c197ba-8951-14ad-a270-b32053663da9
280c57b6-157f-4260-a9e6-7b5f3ea14900,1e7919e6-d100-4276-84ea-c550282c5933,70c197ba-8951-14ad-a270-b32053663da9
e2ac30ca-0bdc-426f-9607-ed0a4fb4b95d,1e864434-cc0c-4e5f-873b-6091ac590de3,70c197ba-8951-14ad-a270-b32053663da9
99a963de-152e-4560-b572-958a5bcc70c5,1d20314c-db91-6748-9481-51d905e274cf,70c197ba-8951-14ad-a270-b32053663da9
417bf109-09c5-42aa-9b51-ad46eb0dfee5,1ddbf220-e42b-48fc-bb8f-b46701552a10,1e35ee58-8dc3-c03b-f223-0a2e9bde90b4
041373ff-afa9-4c49-91dc-b55bcd282615,1e83c0a2-bd53-4d2f-99ba-bd8de4f0a4cc,e64d226d-1d88-a330-ae45-a66bd201b031
c4905cba-252b-48fb-b239-a50977a69632,1eb2b8bc-ea89-e6b6-94ec-13363cf23ebf,e64d226d-1d88-a330-ae45-a66bd201b031
9a3bdc97-48a3-48ef-9638-8ef08ff49c13,1cce5fb7-a257-e08f-5da1-0cf7a506fe0a,e64d226d-1d88-a330-ae45-a66bd201b031
db69d2a2-a217-4705-8407-9e050d98f303,180486d1-f988-f3e9-6798-3365b9c34e68,e64d226d-1d88-a330-ae45-a66bd201b031
fcd954e1-eefa-4959-96d4-2e6fd1147d48,183ae20f-a2ab-4a21-93ec-df994349cec0,1e35ee58-8dc3-c03b-f223-0a2e9bde90b4
