pkid,name,description,dialplanwizardgenid,clause,resettoggle,tkreset,tkpartitionusage
5e7d33ea-bc43-4c2a-be07-9259a8c5a03b,FXE-FIELD-A-BDLRT-APP_css,BDLRT CSS to be Placed on the Lines at the Site,,BLOCKED-GENERAL_par:FXE-FIELD-A-BDLRT-APP_par:FXE-FIELD-A-INTERNAL_par,f,2,99
36a30c32-9647-6890-f81d-f0393883af6d,BNAA_911_css,911 for BNAA,,BNAA_911_par,f,2,99
37f76aad-86f4-605c-e2d1-0b68a0550c70,FXE-HTSR-Local_css,FXE-HTSR internal and local calls,,FXE-HTSR_internal_par:NA-Local_par,f,2,99
5e2a0f4b-ddf5-4d1a-9c12-c11cd218d315,XFORM-EWNA-MGCP-DNIS_css,EWNA Applied to site gateway configuration in CUCM,,XFORM-EWNA-MGCP-DNIS_par,f,2,99
c47483b2-e9cc-0b7d-01d9-a45dba05325e,BNAA_PSTN_css,"""Internal, External for BNAA""",,BNAA_PSTN_par:FXE-FIELD-A-BNAA-APP_par,f,2,99
430d8b89-bb8d-3837-4ecf-bd6d0ff981d2,FXE-FIELD-A-CADA-APP_css,CADA CSS to be Placed on the Lines at the Site,,BLOCKED-GENERAL_par:FXE-FIELD-A-CADA-APP_par:FXE-FIELD-A-INTERNAL_par,f,2,99
fe1e40a0-c41e-242e-695a-b6981c24e4b3,FXE-FIELD-A-RDVRT-GATE-PLAR_css,,,FXE-FIELD-A-RDVRT-GATE-PLAR_par,f,2,99
02c82615-ae36-1df3-559b-f6dbc36f7588,FXE-FIELD-A-MCNA-APP_css,MCNA CSS to be Placed on the Lines at the Site,,BLOCKED-GENERAL_par:FXE-FIELD-A-MCNA-APP_par:FXE-FIELD-A-INTERNAL_par,f,2,99
3f73f42a-2e0b-4e42-2a5c-bdf289328a47,GJTA_911_css,911 for GJTA,,GJTA_911_par,f,2,99
a14d823d-7af2-990f-6a08-f5103ebc8abf,FXE-FIELD-A-MFDA-APP_css,MFDA CSS Applied to the phone lines and Gateway,,BLOCKED-GENERAL_par:FXE-FIELD-A-MFDA-APP_par:FXE-FIELD-A-INTERNAL_par,f,2,99
525bc7cd-e5ef-34be-7e6d-08c86619a177,XFORM-HMTA-MGCP-DNIS_css,HMTA Applied to site gateway configuration in CUCM,,XFORM-HMTA-MGCP-DNIS_par,f,2,99
c5287bc8-f6c3-869f-5c26-1667017e1d1e,FXE-FIELD-A-BTVR-APP-css,BTVR CSS to be Placed on the Lines at the Site,,BLOCKED-GENERAL_par:FXE-FIELD-A-INTERNAL_par:FXE-FIELD-A-BTVR-APP-par,f,2,99
153bb65f-c1d2-9341-9462-a7d79d117832,FXE-FIELD-A-BFMR-APP_css,BFMR CSS to be Placed on the Lines at the Site,,BLOCKED-GENERAL_par:FXE-FIELD-A-BFMR-APP_par:FXE-FIELD-A-INTERNAL_par,f,2,99
d860ebe1-d190-eee0-537e-1a5af3a1477b,FXE-FIELD-A-MSPR-APP_css,MSPR CSS Applied to the phone lines and Gateway,,BLOCKED-GENERAL_par:FXE-FIELD-A-MSPR-APP_par:FXE-FIELD-A-INTERNAL_par,f,2,99
f3f6f865-ee13-1988-1c1a-1e68f914244b,FXE-FIELD-A-VLDA-APP_css,VLDA CSS Applied to the phone lines and Gateway,,BLOCKED-GENERAL_par:FXE-FIELD-A-VLDA-APP_par:FXE-FIELD-A-INTERNAL_par,f,2,99
22f13a1f-9e7c-c64e-cefc-e7ee31ac9c19,FXE-FIELD-A-CAOA-APP_css,CAOA CSS to be Placed on the Lines at the Site,,FXE-FIELD-A-CAOA-APP_par:FXE-FIELD-A-INTERNAL_par,f,2,99
