pkid,fkroutegroup,selectionorder
a7afccda-6852-531c-5009-365968a02f6a,f9f5a4a2-7e72-735d-4744-9c0ad10fcdad,1
a861d372-ffef-eecd-6554-198e6c944bf1,0d8d240a-ff52-7abb-988c-c9e1d28a1df6,1
f39d088a-0fee-8728-86c9-93959709535a,3e67fad9-fbbf-5d63-33dc-c574ca3a8088,1
a8eb4b7f-c549-04da-83e5-c445a60ea4ec,889179ce-59de-8141-6b7f-555c341b6c63,1
a953f503-08c0-247c-505c-328793bd0d8a,f9971620-0731-3f82-e693-4845bf08b591,1
a976018f-84ba-ab28-581f-d9b94d256dd2,0d151496-fb17-1454-2efc-cbfdf820cec5,1
aa138219-c5d4-59f9-a2e8-03ede891391a,3dce55ac-2d21-5d68-b2f8-1c4a56d889da,1
aa252a44-1560-cbe6-8f56-21e232dff211,747d5a11-15b1-77d4-1c4b-b71987f59467,1
ac9ed66b-d75a-037c-9499-55ceed8f8ec2,7ef821c3-5d98-7938-db43-59bb3cc5c013,1
52981acf-5e58-4abe-96ab-7c28581e5e97,32249753-9c4b-ff56-e0c4-4296202147e5,1
af400855-f100-9d79-56c1-7f97562daaf7,d7d1cec3-93ee-d3c0-c530-0c913741a434,1
af643ea9-ba6d-4d99-42be-c3b59de812aa,20586d41-2d3b-0eba-6bf5-6927661729ac,1
b11be349-2619-a2f8-51f6-3eae58005f52,2b96afa8-0354-3462-3cc1-4371a4d4c80c,1
0fc71517-da8a-4daa-b506-02a133e7d4ae,97903b54-176c-2d70-d69b-76cbe562cf7b,1
b1ca15f0-4c1b-825f-4c89-e9c254929c40,e93cc9b8-c143-1aba-360b-a47a146fa09e,1
b21f4956-6986-495c-ea62-673a4a92ebfe,db0ca71c-eb49-9641-6938-e8f5d2eff8de,1
696bb3fb-bf4a-4a49-a8c8-ef745f3b2d06,235d8346-d9d3-9ac2-d7d6-f555fb15538f,1
b3d6e1da-855e-d1b0-0dce-f005083a0683,df3423cb-e3dd-554f-1491-a05c38102746,1
b45aa042-a9c2-0944-e413-d95be56735b9,04cce391-27c1-64ed-7ec0-a4ef17a710b4,1
b7b2e50a-544b-fbc9-d049-35c5a32edd4d,ac6d395e-0fdf-b6b6-3c88-629dca25ead3,1
b7e083de-905a-3151-7f2d-ac5e5848d7f9,9143a4a1-bf3b-ae05-79c9-3657cdb6473d,1
b86c8560-cb8b-53ad-ed2c-1f44ee81ee85,e66c8744-53a7-7753-7eff-f0765f0e484d,1
b88be262-92cb-6b7a-1818-c1a33ad64bb2,5d026eb0-780a-35df-d22b-84992d02c8a8,1
bcfce623-a182-21b1-71e1-00df48e58cfa,a110e822-2512-295e-4002-48d9be632997,1
bd296791-acf3-9603-91c9-73311172b35d,4bd42845-c93f-26de-d1f5-719801c29d8d,1
bfe5e021-87bb-8b2c-352c-f4ef983e36b9,98b96ee5-b302-b422-e669-4ed2f3b471e5,1
c0197605-f532-9bbb-4455-69fc325cb742,9d5f8c0c-2d5c-2069-2596-53dc63bec42f,1
c33b1c05-4cb6-4b78-c0ad-90afdecc6393,e21be786-2824-d949-85ca-9067eb4afdd0,1
c45a4958-9377-e66e-b800-383f15287969,36ec2c13-6188-712e-613a-485a30350e3d,1
c5a3df0a-860f-8901-ca28-450337152df7,2f4217c7-68a4-19dc-24c6-bde8c78d19fb,1
c70610dc-4421-0f05-e56a-4e91d0f60a54,60c616fc-2eb1-3256-559a-6ed3ba6d7508,1
c706228c-d51a-ab1e-7c33-6414b7725faf,1e0f4f97-2c4c-c2e9-47ce-b2bc3206a72a,1
c809f956-dbc2-05ac-c487-f2783076aee1,ad73137c-f9fe-efea-eef6-6073ae8d5138,1
d4118476-3b1b-38dd-216c-f925472a3f0e,a21d41e8-6c69-6cea-6588-7919376e2287,1
c84c2c37-776a-20cc-1d28-b3e7c155722d,5192a2b1-b13a-81c0-7021-1ce360a554db,1
d024314e-5d4d-48c2-9255-8084c3e50ca0,c2305c91-3829-055b-8836-24e9c8fa85b5,1
c92d27c5-f4e8-1a86-a224-9c5f1ef40a4a,94ff9e90-7f37-42a3-0a63-a655341d9de7,1
c9f471d2-8cc1-6cfb-55b3-7ac107fa4102,f9414bd6-e477-42dd-f00c-adfe458da3f2,1
ca27d850-9c83-701a-7ed7-3f803b9b06e5,c6ef4bd1-b572-812b-9f0d-2003d2a1a907,1
cb5ce3ac-bad5-9d6b-da54-202ae4664bd0,924bcc50-2cfc-a811-92eb-7d727a01e8ba,1
ce78acda-0f6c-efd3-09d5-1e90d5ea7bf7,80f41ade-b709-0074-fa93-82866de8032b,1
d2bf5bf0-e5b9-5140-2f37-4b809754c2d4,e4ffa1c7-d838-fef5-3c74-26387934a3b6,1
d46535fb-05e3-75e7-3ffe-f1d8c1e18da3,18f3042d-c41e-4458-139d-4016d883e6e3,1
d5873a0a-7d70-0b28-16a2-7ab7ad01b54f,b58a0a01-0315-b43b-835d-ce4264b4126a,1
0cc2e15f-8e1d-4f18-9ee2-9daecb749247,637a1618-a989-0e56-9114-df44e66fdbe8,1
d68a0c2d-0077-4993-066e-405709eaaa0b,ad52f82d-94e6-26cc-2fe2-d75604cf9f33,1
d963b032-9544-fe7e-5090-74bae3f7f9d3,411eb008-3bc7-d9f1-1ce2-fbd68491b7e4,1
da6b4f0f-9e24-cc8c-78a1-52f831319108,a0cd86e9-9036-2ead-236a-69fa00a3fdf7,1
