pkid,name,description,dialplanwizardgenid,fktimeschedule,tktimezone,useoriginatingdevicetimezone,resettoggle,tkreset,tkpartitionusage
3101ec7a-598a-4fd5-9e00-cf5c64399e4e,FXE-FIELD-A-SCEA-APP_par,SCEA Site Specific Dial Partition,,,22,t,f,2,99
d30e16b0-a96d-4294-8ed2-20986e0cc102,FXE-FIELD-A-PHNA-APP_par,Site specific partition,,,22,t,f,2,99
47214a2f-a9dc-4f2a-9c2a-f23523dce241,FXE-FIELD-A-FRGWK-APP_par,FRGWK Site Specific Dial Partition,,,22,t,f,2,99
9ae03534-7d0d-481f-b6b0-baf45e1988fa,XFORM-CLTRT-MGCP-ANI_par,Contains per-site Called Party Transformation,,,22,t,f,2,99
6a10bba7-8143-4a45-9aea-9401829878f1,NYCSL_911_par,NYCSL_911_par,,,22,t,f,2,99
f529ef21-5a6f-4a38-837c-285a9491d44a,XFORM-RDVRT-MGCP-DNIS_par,Contains per-site Called Party Transformation,,,22,t,f,2,99
4936679d-d7f0-4dc0-af9c-4459bcf88f2c,FXE-FIELD-A-SCFA-APP-par,SCFA Site Specific Dial Partition,,,22,t,f,2,99
f89bbdc7-20aa-4452-b6fa-ac0c5bed7d25,FXE-FIELD-A-UGNA-APP_par,Site specific partition,,,22,t,f,2,99
d741a7cd-8ed9-4c44-8c01-42a7f1388506,XFORM-JVLA-MGCP-DNIS_par,Contains per-site Called Party Transformation,,,22,t,f,2,99
3a683e1d-07bb-41ed-9d5b-eff2d809cc7e,XFORM-GNVA-MGCP-DNIS_par,Contains per-site Called Party Transformation,,,22,t,f,2,99
4867991b-789a-492a-a5ba-e7bf7ac17609,FXE-FIELD-A-TOAA-APP_par,Site specific partition,,,22,t,f,2,99
22ce4eda-9c30-49ff-9c0d-e21ef878e61d,XFORM-MDTRT-MGCP-ANI_par,Contains per-site Called Party Transformation,,,22,t,f,2,99
d0922241-08dc-47d2-a10e-9d7bd7d8ed96,XFORM-ANBA-DNIS_par,Contains per-site Called Party Transformation,,,22,t,f,2,99
02a987be-e803-41db-bdaa-1ee4c5dee60e,XFORM-ATYA-MGCP-ANI_par,Contains per-site Called Party Transformation,,,22,t,f,2,99
c2043194-9c6f-4dca-882b-be8a2f2b44b8,FXE-FIELD-A-TPAR-APP_par,Site specific partition,,,22,t,f,2,99
22a87a75-b226-405b-b262-46f2b486afe8,XFORM-GTRA-MGCP-ANI_par,GTRA Contains per-site Called Party Transformation,,,22,t,f,2,99
4f2dd1ce-fcbd-4fda-b540-e62df877e80a,FXE-FIELD-A-PPFA-APP_par,PPFA Site Specific Dial Partition,,,22,t,f,2,99
9ede9268-7a92-46f9-af94-b14eb8894e76,FXE-FIELD-A-LAXFT-APP_par,Site specific partition,,,22,t,f,2,99
c5c9ae9d-2958-4ee1-8283-0027f16f6914,FXE-FIELD-TWFA_CngPTP-Xform-GW-IN_par,FXE-FIELD-TWFA_CngPTP-Xform-GW-IN_par,,,22,t,f,2,99
110f104c-2393-48e0-ba56-a963019d6a79,XFORM-ITHA-MGCP-ANI_par,Contains per-site Called Party Transformation,,,22,t,f,2,99
6eae1796-3684-4094-9554-8dd636ff46d3,FXE-FIELD-A-ZTYRT-APP_par,ZTYRT Site Specific Dial Partition,,,22,t,f,2,99
25ace1a0-62dc-4e81-a7e7-4e6233a08752,XFORM-GIFA-MGCP-DNIS_par,GIFA Contains per-site Called Party Transformation,,,22,t,f,2,99
02da9305-c2f3-4379-93b8-efb282768ba2,FXE-FIELD-A-JREA-APP_par,FXE-FIELD-A-JREA-APP_par,,,22,t,f,2,99
36fcdbd6-9290-43fc-bcdf-b49e96861b65,FXE-FIELD-A-NZJA-APP_par,NZJA Site specific partition,,,22,t,f,2,99
d0e74613-d7b0-4549-ac91-11f472b20080,PLUS-INTL-STAR-par,PLUS-INTL-STAR-par,,,22,t,f,2,99
1af5037d-8f6b-45f0-8f23-4bf6bff14cee,XFORM-BTVA-MGCP-ANI_par,Contains per-site Called Party Transformation,,,22,t,f,2,99
4cd42be5-25a0-4601-bdbd-6b381bcd821b,XFORM-MIA-MGCP-DNIS_par,MIA Contains per-site Called Party Transformation,,,22,t,f,2,99
ddaf9dad-7c0c-4443-a58f-18629d62baca,FXE-FIELD-A-DMOA-APP_par,Site specific partition,,,22,t,f,2,99
f813a629-acba-4a97-a663-2f7be67eabea,FXE-FIELD-A-FATR-APP_par,FATR Site Specific Dial Partition,,,22,t,f,2,99
7046bc6f-a6b4-4a01-beac-da1f20c294ba,BURA_CngPTP-Xform-GW-IN_par,BURA_CngPTP-Xform-GW-IN_par,,,22,t,f,2,99
