sipdevice_pkid,pkid,name,description,runonallnodes
d7500410-c15a-4b0b-8265-3d99db11dcba,16ff2ac9-c65b-df59-e09c-8767d8121f5d,FXF-SDWAN-FNT-tk,FedEx Freight Flint Michigan(FNT)  SIP TK to GW,f
de09ea49-743d-ab98-291f-936b7fba51d3,1777f14e-7748-84c4-cc63-03ea8dac538d,FXF-SDWAN-FAY-tk,FedEx Freight Fayetteville (FAY/264) 10.16.158.1 SIP,f
92e3a9cc-ba56-d896-0c80-099ddc633c73,78c6b2d6-544d-b7e0-b83b-ccca066fe2bb,FXF-SDWAN-QCY-tk,FedEx Freight Quincy (QCY/460) 10.17.146.1 SIP,f
a2ef2869-9b02-6187-79c0-3e128ce57350,872a25dc-c0e0-5162-6a6a-6b25b5778a97,FXF-SDWAN-ROA-tk,FedEx Freight Roanoke (ROA/527) 10.17.162.1 SIP,f
9e857e98-d4f1-8903-a9c6-82c559f0238f,843cea7a-5a41-7be9-73c9-cb983c80c16b,FXF-SDWAN-EKA-tk,FedEx Freight Eureka (EKA/159) SIP TK to GW,f
7ebe6a2e-71c6-ee04-57c1-59feca316a6b,85924d35-f285-38de-9c29-48dfac9c018d,FXF-SDWAN-MNT-tk,FedEx Freight Mentor (MNT/977) SIP TK to GW,f
98ef0c34-4b73-39f9-dae0-c175fce13ba0,1ab63881-aec2-a943-574d-450f7133df4c,FXF-SDWAN-VNL-tk,FedEx Freight Vineland (VNL/844) 10.18.59.1 SIP,f
62e8910f-2696-39d3-17e4-9c34d14ab7a4,857586c1-beb6-f589-c789-3afca2e28804,FXF-SDWAN-DTR-tk,FedEx Freight Detroit (DTR/110) SIP TK To GW,f
24197467-9bde-9e53-9f2b-4951d83054fb,8b32a726-1a1c-f0d5-8e99-3a636e1f3eb1,FXF-SDWAN-CHS-tk,FedEx Freight Charleston (CHS/270) SIP TK to GW,f
20e16261-234d-5799-b9c3-4eb458218df6,8e1dfd63-2400-c8a2-e4bb-94cecc756976,FXF-SDWAN-SPO-tk,FedEx Freight Spokane (SPO/183) SIP Tk to GW,f
be2daa7a-5ce6-a8f3-3065-8c335452a00a,8e75ec6b-a9ba-98b1-6d46-ed64f0ee2a49,FXF-SDWAN-SFV-tk,FedEx Freight San Fernando Valley (SFV/179) 10.17.205.2 SIP,f
9878e462-dca2-c752-e815-aed08040e3d4,88c885cc-8d9e-e06c-b547-b934a966f16d,FXF-SDWAN-FRO-tk,FedEx Freight Fresno (FRO/164) 10.16.168.1 SIP,f
83db2465-9c11-c980-cad7-1dfcde0df103,8e6268ba-df66-24d1-5e5d-30d9d47e00db,FXF-SDWAN-PLB-tk,FedEx Freight Plattsburgh (PLB/513) SIP TK to GW,f
24f6e3e1-c2e4-8f73-50b2-2be7ca65e56d,00dba53a-5d62-cec6-4e52-6b7720bccdd6,FXF-SDWAN-ZZV-tk,FedEx Freight Zanesville (ZZV/998) SIP TK to GW,f
3a5c8d8f-30e3-396f-c70a-dde32ead6301,0e955302-f25a-9f6f-2362-bf7b3b674995,FXF-SDWAN-LFK-tk,FedEx Freight Lufkin (LFK/385) 10.17.25.1 SIP,f
bdac63b6-7480-11e3-9b1d-6ea755eee64d,0a466ab6-a4e2-7e17-55bf-5fd8a0801732,FXF-SDWAN-EPH-tk,FedEx Freight E Philadelphia (EPH/453) SIP TK to GW,f
e5cd5656-d136-6b79-d1b1-2a3350779db9,0196f826-1612-50d1-a77e-41c05f80651b,FXF-SDWAN-WPB-tk,FedEx Freight West Palm Beach (WPB/818) SIP TK to GW,f
3b9d8f44-f2b9-8f15-1e03-9883513482f5,07444bb0-6325-e95e-1cfe-7024df4536e4,FXF-SDWAN-MIE-tk,FedEx Freight Muncie (MIE/877) SIP Tk to GW,f
46d677e1-dd77-1fae-6fdb-79044b3d54c8,073de1da-5990-b05a-9990-f6368a0f8de7,FXF-SDWAN-BIS-tk,FedEx Freight Bismarck (BIS/508) SIP TK to GW,f
6356890b-55f7-3e9d-3b4d-de1b501370ba,0e5ccf32-f3db-6851-17f8-4aa091691c07,FXF-SDWAN-WBA-tk,FedEx Freight W Baltimore (WBA/377) SIP TK to GW,f
4a9476bc-4a71-4ee7-48be-251c223e2327,0372bcdd-4bef-75ee-ba0c-835140686db9,FXF-SDWAN-HBG-tk,FedEx Freight Hattiesburg (HBG/925) 10.16.212.2 SIP,f
4625e4d7-33b2-0f10-1bc9-e3ed4cb47463,05b73ae5-1702-6ffc-f357-a15f6fd42a70,FXF-SDWAN-TAC-tk,FedEx Freight Tacoma (TAC/186) 10.18.1.1 SIP,f
ae2d49b2-a225-01a3-6cf0-260b9b0bc6d9,4f968a09-c604-72fc-10db-64451288b092,FXF-SDWAN-NHU-tk,FedEx Freight North Houston (NHU/362) 10.17.48.1 SIP,f
a082c8ee-7706-4575-a0f9-3273019a3234,a252a8ef-0528-1cfc-d12e-f27d28092fcc,FXF-SDWAN-ERI-tk,FedEx Freight Erie (ERI/873) SIP TK to GW,f
9b5228e7-869c-a5a2-b2f1-7513bc9d7885,a08c7370-02dc-c523-b579-ff193e694377,FXF-SDWAN-KMZ-tk,FedEx Freight Kalamazoo (KMZ/117) SIP Tk to GW,f
0ce36b6a-0060-f6aa-b880-f1488f59a011,48b09e47-7e67-92c3-649c-9400f9b4ee15,FXF-SDWAN-WWV-tk,FedEx Freight Wheeling (WWV/545) 10.18.86.1 SIP,f
a699aa5a-3b82-93d4-725b-0a302e107ed7,520ea6e5-839f-5558-3aa2-974dfb623c30,FXF-SDWAN-MRO-tk,FedEx Freight Monroe (MRO/850) SIP TK,f
87afb3ef-099c-0570-9f42-af068abc4d60,a51251a9-df8b-2667-6e09-31361f29555c,FXF-SDWAN-RSG-tk-IGNORE,FedEx Freight Roseburg (RSG/647) SIP TK to TK,f
582dd24f-140e-ca46-da6b-95e28e61a2c4,9122dff5-1d15-63ae-7982-36086db7faa7,FXF-SDWAN-WMN-tk,FedEx Freight Wilmington (WMN/262) SIP TK to GW,f
5b1aafa0-19c3-a6e6-283b-2a2dc09130f9,9a21f7f0-bf8e-96d7-0070-50f530170082,FXF-SDWAN-DPL-tk,FedEx Freight Des Plaines (DPL/419) SIP TK to GW,f
81953f0a-ad01-8266-6b76-2f693baf5bf2,abd48498-499d-081c-3e3f-44aadc12c298,FXF-SDWAN-DSM-tk,FedEx Freight Des Moines (DSM/478) SIP TK to GW,f
1c13b685-837c-90df-cedf-c92c0dd82bc7,9ba6cf22-d138-30bd-c18a-055a4a09b071,FXF-SDWAN-KKE-tk,FedEx Freight Kankakee (KKE/415) 10.17.5.1 SIP,f
96374025-4033-2ae7-fb0f-5e3c928239ce,94354648-e753-76cc-d91e-d2ec881f9aef,FXF-SDWAN-AGS-tk,FedEx Freight Augusta (AGS/295) SIP TK to GW,f
f93e78b9-3b61-4212-34ec-d51b43aafce9,a7d0c5e5-27d5-9556-35af-862af33236c7,FXF-SDWAN-IVN-tk,FedEx Freight Irving (IVN/165) 10.16.237.1 SIP,f
91822970-6d29-1490-28de-f0728da3db17,ad741233-c96b-c25a-7b13-e7b3028979d1,FXF-SDWAN-LON-tk,FedEx Freight London (LON/642),f
306c8bf1-60d1-89aa-ef4a-505ba17d095d,b9bf3506-064d-652c-8884-b538e0c63def,FXF-SDWAN-NHC-tk,FedEx Freight New Haven (NHC/578) SIP TK to GW,f
0f731af1-450a-3c27-0745-314847726814,9c417cc4-c576-5de2-2408-2e022bb43c33,FXF-SDWAN-OTM-tk,FedEx Freight Otay Mesa (OTM/563) 10.17.112.1 PSIP,f
