pkid,fkdevicepool
8e861229-5141-1b23-df24-b0a00d2260bf,a78239cf-3c39-166f-77cd-71b7293393c3
41610fb4-b08a-237e-2cb8-389028ee6621,db12329a-c6ad-f049-926a-fc27b1152e37
e4d35c3a-879f-178a-1247-52ae2fbffe63,07e6f4e6-55c4-426b-af58-2dc2c345876c
06ced840-d43e-5646-f289-d4a78e6a578c,3f37b9d2-0997-4ff9-b8b1-486304923651
e24eb442-3693-a31c-ba1f-ec1831476d8b,6ebf1ee3-8656-1b98-235b-606c15aeb79e
0f964e90-d71a-1ba3-c007-42465493dd65,46fc0837-370d-75d7-3d0f-734b256652c8
3d2c7592-80c3-cd8c-3afa-21fc12f7e352,b0ad44f0-2eb6-af37-a07e-a4f5da65dae8
9f5bea5a-9a56-637b-2751-4b45605b05df,3f37b9d2-0997-4ff9-b8b1-486304923651
727a7c45-f825-e244-267e-004a235640eb,3f37b9d2-0997-4ff9-b8b1-486304923651
41b6af7b-4467-0ecd-bb8e-eb8498d793ba,fb3fcd8e-2ca1-9600-311e-536bb1e814f1
bf6091d7-b824-54ad-2163-70a8725f3768,bec2d37b-87b6-4572-a121-a25f04e1fc12
44338da6-8275-5384-6157-699f074d6b9f,e9a0044f-f1de-4d0b-0169-1dcd3b9dc539
25c3f0c9-3808-3959-bf9c-d3ffc56f5856,b2fcf7af-fd19-2887-4a4d-e138438a2a92
e94261db-6c4e-5433-6d4e-36e0b82809b7,e9a0044f-f1de-4d0b-0169-1dcd3b9dc539
0ad8a9f9-c67a-a56e-f66a-72787212c223,9dbad911-3c92-5517-6780-83c6be9b901c
8b3b7816-63eb-8b28-728b-b639efeeaed6,9dbad911-3c92-5517-6780-83c6be9b901c
0009f0b1-3b5a-791d-0cdb-5d4ddd225f79,ba246033-2dbd-4447-8712-78266ee34838
7ec108c6-aa3f-06da-616c-f9caefd8a5d8,18f7dd54-e176-43f5-812d-e12bc567920f
8863267e-8430-b254-4db4-9c017b03ee15,417cc726-3c85-4c26-b2a0-dc6921bdcde1
27c0afbc-72a4-2bb7-115a-a9d12112b74e,2d3bf2ea-2842-43e6-a40e-6e3235662dc4
23fc592c-6510-5429-ab73-b97911c06ae5,1df23c47-21f8-4776-b46f-25084ba0706a
b18a5cc1-2f48-8957-8ba1-02e9dc579a72,bdc760e7-30e0-d82d-ad1c-a295d5f37639
57fa0398-90b0-54cf-212c-841067c15eeb,bdc760e7-30e0-d82d-ad1c-a295d5f37639
9151a447-993b-66c6-27a1-72b178741e17,4f633b9a-8185-7815-b24a-a3c9983242b9
c60edd11-d0e3-89a4-822a-8af77df44260,76a6414d-4af0-3c67-083f-07bdb22d49b6
d8a3587d-99ff-4d43-b4bb-7e03c00ddbab,5cd5761a-d55b-4ecf-91e5-68e381a3506d
19f10cea-73e1-61d1-e38a-52aeeb2e3bf5,bcc6c880-4914-4d26-a799-d61aaa12c97c
2a3f5411-21d1-3858-f61b-9fa8814d5c64,4aeaaaf3-66fe-4d8d-a814-dbdbef33863d
9349d764-2ad4-e435-fd1b-df05e0dffb71,a29b9e8d-67d7-05a8-48fd-71eb0f694d30
eb0efdfc-304c-6528-77c0-cd1cad4216a4,5b54fba1-8dc1-7cf7-a659-4698b8b2c342
cccca008-1d77-5f1f-1212-5a5610723fe2,8900c615-5792-0620-7395-a28dc1d4e24d
f0b051ee-b35c-8409-a4a7-cf33d9bb3693,4aeaaaf3-66fe-4d8d-a814-dbdbef33863d
52a1a5ab-7ca6-3536-408c-e20e8a7657de,19b5d4dc-9400-41dc-9a7f-2bea6194f501
36479493-f2cd-64e3-4dd0-3aa130e128c2,415bd810-248e-0ef8-1397-52b5ecad391e
67214f7a-6814-d84e-3ee5-628da2d437f2,8900c615-5792-0620-7395-a28dc1d4e24d
446f218b-ab63-a952-bc00-68b7adb62b17,03e7bb7a-1f8f-0e53-f66f-d76dded00691
097b892a-7d33-92b6-6a74-de1a50f6a190,03e7bb7a-1f8f-0e53-f66f-d76dded00691
36ebeaf8-2be7-4753-b118-e17a3a692c72,35ffe0ab-e8c2-4506-9002-c563eae35f1d
25b7b2f4-190c-ca14-a544-5529fd0b3864,616e22a8-ffd8-4420-014b-57eca5595d74
b1fcf95d-e4c7-e2ca-0730-b93a47b3cbfc,616e22a8-ffd8-4420-014b-57eca5595d74
4d2b0033-5fdf-4055-f601-9b23e77f3896,4aeaaaf3-66fe-4d8d-a814-dbdbef33863d
19f3fcb6-efb9-d253-5b4d-86d064f2232c,a011fa04-5b9f-a525-565a-4ae06e18518e
f6b81af3-210b-09c5-47ae-0d1372d45837,a011fa04-5b9f-a525-565a-4ae06e18518e
9d379290-e63a-c585-0049-b464d29f8a01,65a20cc1-1fe2-0f25-435b-23ba79929058
92edb683-de29-283f-36e5-e5748a87af30,a74f2747-b32e-2f47-15c1-6a08c567ad9c
b6359256-dff7-a0c7-e07e-1cc35dba53fb,ae61cee0-498a-4d4f-bb2f-912030b550d7
cfd90b58-0b33-121b-ad12-ecacd723a2e2,a74f2747-b32e-2f47-15c1-6a08c567ad9c
cbc11034-1bd2-9ed0-9273-23be5f27fdbe,58b791ec-9730-4979-b6b6-f140cdc7c3ec
